"","poll.end.date","poll.source","party","variable","value"
"1502","31-Dec-10","Newspoll","COAL","Victoria","39"
"1503","31-Dec-10","Newspoll","GRN","Victoria","17"
"1504","20-Nov-10","Nielsen","OTH","Victoria","3"
"1505","20-Nov-10","Nielsen","ALP","Victoria","37"
"1506","20-Nov-10","Nielsen","GRN","Victoria","16"
"1507","20-Nov-10","Nielsen","COAL","Victoria","40"
"1508","20-Nov-10","Nielsen","IND","Victoria","3"
"1509","20-Nov-10","Nielsen","FFP","Victoria","2"
"1510","23-Oct-10","Nielsen","OTH","Victoria","2"
"1511","23-Oct-10","Nielsen","ALP","Victoria","38"
"1512","23-Oct-10","Nielsen","GRN","Victoria","18"
"1513","23-Oct-10","Nielsen","COAL","Victoria","36"
"1514","23-Oct-10","Nielsen","IND","Victoria","3"
"1515","23-Oct-10","Nielsen","FFP","Victoria","2"
"1516","19-Aug-10","Nielsen","GRN","Victoria","17"
"1517","19-Aug-10","Nielsen","ALP","Victoria","41"
"1518","19-Aug-10","Nielsen","COAL","Victoria","35"
"1519","19-Aug-10","Nielsen","DEM","Victoria","1"
"1520","19-Aug-10","Nielsen","GRN","Victoria","17"
"1521","19-Aug-10","Nielsen","IND","Victoria","2"
"1522","19-Aug-10","Nielsen","FFP","Victoria","2"
"1523","19-Aug-10","Nielsen","OTH","Victoria","1"
"1524","15-Aug-10","Newspoll","ALP","Victoria","41"
"1525","15-Aug-10","Newspoll","GRN","Victoria","14"
"1526","15-Aug-10","Newspoll","COAL","Victoria","40"
"1527","12-Aug-10","Nielsen","GRN","Victoria","14"
"1528","08-Aug-10","Newspoll","ALP","Victoria","41"
"1529","08-Aug-10","Newspoll","GRN","Victoria","15"
"1530","08-Aug-10","Newspoll","COAL","Victoria","39"
"1531","05-Aug-10","Nielsen","GRN","Victoria","16"
"1532","05-Aug-10","Nielsen","ALP","Victoria","39"
"1533","05-Aug-10","Nielsen","COAL","Victoria","41"
"1534","05-Aug-10","Nielsen","IND","Victoria","1"
"1535","05-Aug-10","Nielsen","FFP","Victoria","2"
"1536","05-Aug-10","Nielsen","OTH","Victoria","3"
"1537","01-Aug-10","Newspoll","ALP","Victoria","42"
"1538","01-Aug-10","Newspoll","GRN","Victoria","17"
"1539","01-Aug-10","Newspoll","COAL","Victoria","36"
"1540","29-Jul-10","Nielsen","ALP","Victoria","40"
"1541","29-Jul-10","Nielsen","COAL","Victoria","40"
"1542","29-Jul-10","Nielsen","GRN","Victoria","15"
"1543","29-Jul-10","Nielsen","IND","Victoria","1"
"1544","29-Jul-10","Nielsen","FFP","Victoria","2"
"1545","29-Jul-10","Nielsen","OTH","Victoria","2"
"1546","22-Jul-10","Nielsen","GRN","Victoria","13"
"1547","22-Jul-10","Nielsen","ALP","Victoria","44"
"1548","22-Jul-10","Nielsen","COAL","Victoria","40"
"1549","22-Jul-10","Nielsen","IND","Victoria","1"
"1550","22-Jul-10","Nielsen","FFP","Victoria","1"
"1551","22-Jul-10","Nielsen","OTH","Victoria","0"
"1552","10-Jul-10","Nielsen","GRN","Victoria","14"
"1553","30-Jun-10","Newspoll","OTH","Victoria","7"
"1554","30-Jun-10","Newspoll","ALP","Victoria","40"
"1555","30-Jun-10","Newspoll","GRN","Victoria","14"
"1556","30-Jun-10","Newspoll","COAL","Victoria","39"
"1557","25-Jun-10","Nielsen","GRN","Victoria","8"
"1558","25-Jun-10","Nielsen","ALP","Victoria","59"
"1559","25-Jun-10","Nielsen","COAL","Victoria","30"
"1560","25-Jun-10","Nielsen","IND","Victoria","1"
"1561","25-Jun-10","Nielsen","FFP","Victoria","0"
"1562","25-Jun-10","Nielsen","OTH","Victoria","2"
"1563","25-Jun-10","Nielsen","ALP","Victoria","59"
"1564","25-Jun-10","Nielsen","COAL","Victoria","30"
"1565","25-Jun-10","Nielsen","GRN","Victoria","8"
"1566","25-Jun-10","Nielsen","IND","Victoria","1"
"1567","25-Jun-10","Nielsen","FFP","Victoria","0"
"1568","25-Jun-10","Nielsen","OTH","Victoria","2"
"1569","05-Jun-10","Nielsen","GRN","Victoria","18"
"1570","08-May-10","Nielsen","GRN","Victoria","14"
"1571","17-Apr-10","Nielsen","GRN","Victoria","15"
"1572","17-Apr-10","Nielsen","ALP","Victoria","41"
"1573","17-Apr-10","Nielsen","COAL","Victoria","38"
"1574","17-Apr-10","Nielsen","IND","Victoria","2"
"1575","17-Apr-10","Nielsen","FFP","Victoria","1"
"1576","17-Apr-10","Nielsen","OTH","Victoria","2"
"1577","31-Mar-10","Newspoll","ALP","Victoria","42"
"1578","31-Mar-10","Newspoll","OTH","Victoria","7"
"1579","31-Mar-10","Newspoll","ALP","Victoria","42"
"1580","31-Mar-10","Newspoll","GRN","Victoria","13"
"1581","31-Mar-10","Newspoll","GRN","Victoria","13"
"1582","31-Mar-10","Newspoll","COAL","Victoria","38"
"1583","31-Mar-10","Newspoll","COAL","Victoria","38"
"1584","06-Mar-10","Nielsen","GRN","Victoria","13"
"1585","06-Feb-10","Nielsen","GRN","Victoria","10"
"1586","06-Feb-10","Nielsen","ALP","Victoria","45"
"1587","06-Feb-10","Nielsen","COAL","Victoria","38"
"1588","06-Feb-10","Nielsen","IND","Victoria","2"
"1589","06-Feb-10","Nielsen","FFP","Victoria","4"
"1590","06-Feb-10","Nielsen","OTH","Victoria","1"
"1591","31-Dec-09","Newspoll","ALP","Victoria","46"
"1592","31-Dec-09","Newspoll","GRN","Victoria","12"
"1593","31-Dec-09","Newspoll","OTH","Victoria","7"
"1594","31-Dec-09","Newspoll","COAL","Victoria","35"
"1595","28-Nov-09","Nielsen","ALP","Victoria","46"
"1596","28-Nov-09","Nielsen","COAL","Victoria","32"
"1597","28-Nov-09","Nielsen","GRN","Victoria","12"
"1598","28-Nov-09","Nielsen","IND","Victoria","4"
"1599","28-Nov-09","Nielsen","FFP","Victoria","4"
"1600","28-Nov-09","Nielsen","OTH","Victoria","3"
"1601","07-Nov-09","Nielsen","ALP","Victoria","44"
"1602","07-Nov-09","Nielsen","COAL","Victoria","35"
"1603","07-Nov-09","Nielsen","GRN","Victoria","12"
"1604","07-Nov-09","Nielsen","IND","Victoria","3"
"1605","07-Nov-09","Nielsen","FFP","Victoria","3"
"1606","07-Nov-09","Nielsen","OTH","Victoria","2"
"1607","10-Oct-09","Nielsen","ALP","Victoria","48"
"1608","10-Oct-09","Nielsen","COAL","Victoria","33"
"1609","10-Oct-09","Nielsen","GRN","Victoria","11"
"1610","10-Oct-09","Nielsen","IND","Victoria","2"
"1611","10-Oct-09","Nielsen","FFP","Victoria","3"
"1612","10-Oct-09","Nielsen","OTH","Victoria","4"
"1613","30-Sep-09","Newspoll","ALP","Victoria","46"
"1614","30-Sep-09","Newspoll","GRN","Victoria","12"
"1615","30-Sep-09","Newspoll","OTH","Victoria","6"
"1616","30-Sep-09","Newspoll","COAL","Victoria","36"
"1617","12-Sep-09","Nielsen","ALP","Victoria","48"
"1618","12-Sep-09","Nielsen","COAL","Victoria","33"
"1619","12-Sep-09","Nielsen","GRN","Victoria","11"
"1620","12-Sep-09","Nielsen","IND","Victoria","3"
"1621","12-Sep-09","Nielsen","FFP","Victoria","2"
"1622","12-Sep-09","Nielsen","OTH","Victoria","3"
"1623","15-Aug-09","Nielsen","ALP","Victoria","49"
"1624","15-Aug-09","Nielsen","COAL","Victoria","35"
"1625","15-Aug-09","Nielsen","GRN","Victoria","8"
"1626","15-Aug-09","Nielsen","IND","Victoria","1"
"1627","15-Aug-09","Nielsen","FFP","Victoria","3"
"1628","15-Aug-09","Nielsen","OTH","Victoria","3"
"1629","30-Jun-09","Newspoll","ALP","Victoria","46"
"1630","30-Jun-09","Newspoll","GRN","Victoria","11"
"1631","30-Jun-09","Newspoll","OTH","Victoria","7"
"1632","30-Jun-09","Newspoll","COAL","Victoria","36"
"1633","27-Jun-09","Nielsen","ALP","Victoria","46"
"1634","27-Jun-09","Nielsen","COAL","Victoria","39"
"1635","27-Jun-09","Nielsen","GRN","Victoria","8"
"1636","27-Jun-09","Nielsen","IND","Victoria","3"
"1637","27-Jun-09","Nielsen","FFP","Victoria","3"
"1638","27-Jun-09","Nielsen","OTH","Victoria","2"
"1639","16-May-09","Nielsen","ALP","Victoria","41"
"1640","16-May-09","Nielsen","COAL","Victoria","46"
"1641","16-May-09","Nielsen","GRN","Victoria","7"
"1642","16-May-09","Nielsen","IND","Victoria","2"
"1643","16-May-09","Nielsen","FFP","Victoria","1"
"1644","16-May-09","Nielsen","OTH","Victoria","3"
"1645","31-Mar-09","Newspoll","ALP","Victoria","47"
"1646","31-Mar-09","Newspoll","GRN","Victoria","10"
"1647","31-Mar-09","Newspoll","OTH","Victoria","7"
"1648","31-Mar-09","Newspoll","COAL","Victoria","36"
"1649","27-Mar-09","Nielsen","ALP","Victoria","51"
"1650","27-Mar-09","Nielsen","COAL","Victoria","31"
"1651","27-Mar-09","Nielsen","GRN","Victoria","10"
"1652","27-Mar-09","Nielsen","IND","Victoria","2"
"1653","27-Mar-09","Nielsen","FFP","Victoria","3"
"1654","27-Mar-09","Nielsen","OTH","Victoria","3"
"1655","31-Dec-08","Newspoll","ALP","Victoria","44"
"1656","31-Dec-08","Newspoll","GRN","Victoria","11"
"1657","31-Dec-08","Newspoll","OTH","Victoria","7"
"1658","31-Dec-08","Newspoll","COAL","Victoria","38"
"1659","15-Nov-08","Nielsen","ALP","Victoria","46"
"1660","15-Nov-08","Nielsen","COAL","Victoria","39"
"1661","15-Nov-08","Nielsen","GRN","Victoria","10"
"1662","15-Nov-08","Nielsen","IND","Victoria","2"
"1663","15-Nov-08","Nielsen","FFP","Victoria","1"
"1664","15-Nov-08","Nielsen","OTH","Victoria","2"
"1665","18-Oct-08","Nielsen","ALP","Victoria","46"
"1666","18-Oct-08","Nielsen","COAL","Victoria","38"
"1667","18-Oct-08","Nielsen","GRN","Victoria","10"
"1668","18-Oct-08","Nielsen","IND","Victoria","1"
"1669","18-Oct-08","Nielsen","FFP","Victoria","2"
"1670","18-Oct-08","Nielsen","OTH","Victoria","3"
"1671","30-Sep-08","Newspoll","ALP","Victoria","46"
"1672","30-Sep-08","Newspoll","GRN","Victoria","12"
"1673","30-Sep-08","Newspoll","OTH","Victoria","6"
"1674","30-Sep-08","Newspoll","COAL","Victoria","36"
"1675","20-Sep-08","Nielsen","ALP","Victoria","41"
"1676","20-Sep-08","Nielsen","COAL","Victoria","43"
"1677","20-Sep-08","Nielsen","GRN","Victoria","10"
"1678","20-Sep-08","Nielsen","IND","Victoria","1"
"1679","20-Sep-08","Nielsen","FFP","Victoria","4"
"1680","20-Sep-08","Nielsen","OTH","Victoria","1"
"1681","30-Jun-08","Newspoll","ALP","Victoria","47"
"1682","30-Jun-08","Newspoll","GRN","Victoria","12"
"1683","30-Jun-08","Newspoll","OTH","Victoria","6"
"1684","30-Jun-08","Newspoll","COAL","Victoria","35"
"1685","14-Jun-08","Nielsen","ALP","Victoria","43"
"1686","14-Jun-08","Nielsen","COAL","Victoria","36"
"1687","14-Jun-08","Nielsen","GRN","Victoria","14"
"1688","14-Jun-08","Nielsen","IND","Victoria","3"
"1689","14-Jun-08","Nielsen","FFP","Victoria","2"
"1690","14-Jun-08","Nielsen","OTH","Victoria","2"
"1691","17-May-08","Nielsen","ALP","Victoria","49"
"1692","17-May-08","Nielsen","COAL","Victoria","34"
"1693","17-May-08","Nielsen","GRN","Victoria","10"
"1694","17-May-08","Nielsen","IND","Victoria","1"
"1695","17-May-08","Nielsen","FFP","Victoria","2"
"1696","17-May-08","Nielsen","OTH","Victoria","3"
"1697","30-Mar-08","Newspoll","ALP","Victoria","49"
"1698","30-Mar-08","Newspoll","GRN","Victoria","14"
"1699","30-Mar-08","Newspoll","OTH","Victoria","5"
"1700","30-Mar-08","Newspoll","COAL","Victoria","32"
"1701","18-Nov-07","Newspoll","ALP","Victoria","47"
"1702","18-Nov-07","Newspoll","GRN","Victoria","9"
"1703","18-Nov-07","Newspoll","OTH","Victoria","5"
"1704","18-Nov-07","Newspoll","COAL","Victoria","39"
"1705","11-Nov-07","Newspoll","ALP","Victoria","50"
"1706","11-Nov-07","Newspoll","GRN","Victoria","8"
"1707","11-Nov-07","Newspoll","OTH","Victoria","5"
"1708","11-Nov-07","Newspoll","COAL","Victoria","37"
"1709","04-Nov-07","Newspoll","ALP","Victoria","47"
"1710","04-Nov-07","Newspoll","GRN","Victoria","7"
"1711","04-Nov-07","Newspoll","OTH","Victoria","5"
"1712","04-Nov-07","Newspoll","COAL","Victoria","41"
"1713","28-Oct-07","Newspoll","ALP","Victoria","45"
"1714","28-Oct-07","Newspoll","GRN","Victoria","7"
"1715","28-Oct-07","Newspoll","OTH","Victoria","6"
"1716","28-Oct-07","Newspoll","COAL","Victoria","42"
"1717","30-Sep-07","Newspoll","ALP","Victoria","51"
"1718","30-Sep-07","Newspoll","GRN","Victoria","5"
"1719","30-Sep-07","Newspoll","OTH","Victoria","8"
"1720","30-Sep-07","Newspoll","COAL","Victoria","36"
"1721","08-Sep-07","Nielsen","ALP","Victoria","49"
"1722","08-Sep-07","Nielsen","COAL","Victoria","41"
"1723","08-Sep-07","Nielsen","GRN","Victoria","6"
"1724","08-Sep-07","Nielsen","IND","Victoria","1"
"1725","08-Sep-07","Nielsen","FFP","Victoria","1"
"1726","08-Sep-07","Nielsen","OTH","Victoria","2"
"1727","30-Jul-07","Newspoll","ALP","Victoria","49"
"1728","30-Jul-07","Newspoll","GRN","Victoria","5"
"1729","30-Jul-07","Newspoll","OTH","Victoria","8"
"1730","30-Jul-07","Newspoll","COAL","Victoria","38"
"1731","31-Mar-07","Newspoll","ALP","Victoria","48"
"1732","31-Mar-07","Newspoll","GRN","Victoria","7"
"1733","31-Mar-07","Newspoll","OTH","Victoria","8"
"1734","31-Mar-07","Newspoll","COAL","Victoria","37"
"1735","30-Nov-06","Newspoll","ALP","Victoria","40"
"1736","30-Nov-06","Newspoll","GRN","Victoria","9"
"1737","30-Nov-06","Newspoll","OTH","Victoria","10"
"1738","30-Nov-06","Newspoll","COAL","Victoria","41"
"1739","30-Sep-06","Newspoll","ALP","Victoria","42"
"1740","30-Sep-06","Newspoll","GRN","Victoria","7"
"1741","30-Sep-06","Newspoll","OTH","Victoria","10"
"1742","30-Sep-06","Newspoll","COAL","Victoria","41"
"1743","30-Jun-06","Newspoll","COAL","Victoria","42"
"1744","30-Jun-06","Newspoll","ALP","Victoria","39"
"1745","30-Jun-06","Newspoll","GRN","Victoria","8"
"1746","30-Jun-06","Newspoll","OTH","Victoria","11"
"1747","31-Mar-06","Newspoll","COAL","Victoria","43"
"1748","31-Mar-06","Newspoll","ALP","Victoria","37"
"1749","31-Mar-06","Newspoll","GRN","Victoria","7"
"1750","31-Mar-06","Newspoll","OTH","Victoria","13"
"1751","31-Dec-05","Newspoll","COAL","Victoria","39"
"1752","31-Dec-05","Newspoll","ALP","Victoria","40"
"1753","31-Dec-05","Newspoll","GRN","Victoria","10"
"1754","31-Dec-05","Newspoll","OTH","Victoria","11"
"1755","30-Sep-05","Newspoll","COAL","Victoria","43"
"1756","30-Sep-05","Newspoll","ALP","Victoria","39"
"1757","30-Sep-05","Newspoll","GRN","Victoria","8"
"1758","30-Sep-05","Newspoll","OTH","Victoria","10"
"1759","30-Jun-05","Newspoll","COAL","Victoria","45"
"1760","30-Jun-05","Newspoll","ALP","Victoria","40"
"1761","30-Jun-05","Newspoll","GRN","Victoria","6"
"1762","30-Jun-05","Newspoll","OTH","Victoria","9"
"1763","31-Mar-05","Newspoll","COAL","Victoria","47"
"1764","31-Mar-05","Newspoll","ALP","Victoria","39"
"1765","31-Mar-05","Newspoll","GRN","Victoria","8"
"1766","31-Mar-05","Newspoll","OTH","Victoria","6"
"1767","03-Oct-04","Newspoll","COAL","Victoria","42"
"1768","03-Oct-04","Newspoll","ALP","Victoria","42"
"1769","03-Oct-04","Newspoll","OTH","Victoria","8"
"1770","03-Oct-04","Newspoll","GRN","Victoria","8"
"1771","26-Sep-04","Newspoll","COAL","Victoria","40"
"1772","26-Sep-04","Newspoll","ALP","Victoria","43"
"1773","26-Sep-04","Newspoll","OTH","Victoria","8"
"1774","26-Sep-04","Newspoll","GRN","Victoria","9"
"1775","19-Sep-04","Newspoll","COAL","Victoria","44"
"1776","19-Sep-04","Newspoll","ALP","Victoria","40"
"1777","19-Sep-04","Newspoll","OTH","Victoria","8"
"1778","19-Sep-04","Newspoll","GRN","Victoria","8"
"1779","12-Sep-04","Newspoll","COAL","Victoria","47"
"1780","12-Sep-04","Newspoll","ALP","Victoria","38"
"1781","12-Sep-04","Newspoll","OTH","Victoria","7"
"1782","12-Sep-04","Newspoll","GRN","Victoria","8"
"1783","31-Aug-04","Newspoll","COAL","Victoria","44"
"1784","31-Aug-04","Newspoll","ALP","Victoria","41"
"1785","31-Aug-04","Newspoll","OTH","Victoria","15"
"1786","30-Jun-04","Newspoll","COAL","Victoria","40"
"1787","30-Jun-04","Newspoll","ALP","Victoria","45"
"1788","30-Jun-04","Newspoll","OTH","Victoria","9"
"1789","30-Jun-04","Newspoll","GRN","Victoria","6"
"1790","31-Mar-04","Newspoll","COAL","Victoria","40"
"1791","31-Mar-04","Newspoll","ALP","Victoria","43"
"1792","31-Mar-04","Newspoll","GRN","Victoria","7"
"1793","31-Mar-04","Newspoll","OTH","Victoria","10"
"1794","31-Dec-03","Newspoll","COAL","Victoria","42"
"1795","31-Dec-03","Newspoll","ALP","Victoria","37"
"1796","31-Dec-03","Newspoll","OTH","Victoria","21"
"1797","30-Sep-03","Newspoll","COAL","Victoria","42"
"1798","30-Sep-03","Newspoll","ALP","Victoria","39"
"1799","30-Sep-03","Newspoll","OTH","Victoria","11"
"1800","30-Sep-03","Newspoll","GRN","Victoria","8"
"1801","30-Jun-03","Newspoll","COAL","Victoria","47"
"1802","30-Jun-03","Newspoll","ALP","Victoria","36"
"1803","30-Jun-03","Newspoll","OTH","Victoria","17"
"1804","31-Mar-03","Newspoll","COAL","Victoria","41"
"1805","31-Mar-03","Newspoll","ALP","Victoria","38"
"1806","31-Mar-03","Newspoll","OTH","Victoria","21"
"1807","31-Dec-02","Newspoll","COAL","Victoria","42"
"1808","31-Dec-02","Newspoll","ALP","Victoria","40"
"1809","31-Dec-02","Newspoll","OTH","Victoria","18"
"1810","30-Sep-02","Newspoll","COAL","Victoria","40"
"1811","30-Sep-02","Newspoll","ALP","Victoria","40"
"1812","30-Sep-02","Newspoll","OTH","Victoria","14"
"1813","30-Sep-02","Newspoll","GRN","Victoria","6"
"1814","30-Jun-02","Newspoll","COAL","Victoria","40"
"1815","30-Jun-02","Newspoll","ALP","Victoria","40"
"1816","30-Jun-02","Newspoll","OTH","Victoria","14"
"1817","30-Jun-02","Newspoll","GRN","Victoria","6"
"1818","31-Mar-02","Newspoll","COAL","Victoria","42"
"1819","31-Mar-02","Newspoll","ALP","Victoria","40"
"1820","31-Mar-02","Newspoll","OTH","Victoria","18"
"1821","28-Oct-01","Newspoll","ALP","Victoria","46"
"1822","28-Oct-01","Newspoll","COAL","Victoria","41"
"1823","28-Oct-01","Newspoll","OTH","Victoria","13"
"1824","30-Sep-01","Newspoll","COAL","Victoria","43"
"1825","30-Sep-01","Newspoll","ALP","Victoria","44"
"1826","30-Sep-01","Newspoll","GRN","Victoria","3"
"1827","30-Sep-01","Newspoll","OTH","Victoria","10"
"1828","30-Jun-01","Newspoll","COAL","Victoria","39"
"1829","30-Jun-01","Newspoll","ALP","Victoria","44"
"1830","30-Jun-01","Newspoll","GRN","Victoria","4"
"1831","30-Jun-01","Newspoll","OTH","Victoria","13"
"1832","31-Mar-01","Newspoll","COAL","Victoria","39"
"1833","31-Mar-01","Newspoll","ALP","Victoria","49"
"1834","31-Mar-01","Newspoll","GRN","Victoria","3"
"1835","31-Mar-01","Newspoll","OTH","Victoria","9"
"1836","31-Dec-00","Newspoll","COAL","Victoria","41"
"1837","31-Dec-00","Newspoll","ALP","Victoria","47"
"1838","31-Dec-00","Newspoll","GRN","Victoria","2"
"1839","31-Dec-00","Newspoll","OTH","Victoria","10"
"1840","30-Sep-00","Newspoll","COAL","Victoria","42"
"1841","30-Sep-00","Newspoll","ALP","Victoria","49"
"1842","30-Sep-00","Newspoll","OTH","Victoria","9"
"1843","30-Jun-00","Newspoll","COAL","Victoria","40"
"1844","30-Jun-00","Newspoll","ALP","Victoria","49"
"1845","30-Jun-00","Newspoll","OTH","Victoria","11"
"1846","31-Mar-00","Newspoll","COAL","Victoria","45"
"1847","31-Mar-00","Newspoll","ALP","Victoria","47"
"1848","31-Mar-00","Newspoll","OTH","Victoria","8"
"1849","31-Dec-99","Newspoll","COAL","Victoria","47"
"1850","31-Dec-99","Newspoll","ALP","Victoria","45"
"1851","31-Dec-99","Newspoll","OTH","Victoria","8"
"1852","17-May-14","Nielsen","ALP","Queensland","35"
"1853","17-May-14","Nielsen","COAL","Queensland","40"
"1854","17-May-14","Nielsen","GRN","Queensland","7"
"1855","17-May-14","Nielsen","PUP","Queensland","10"
"1856","17-May-14","Nielsen","OTH","Queensland","8"
"1857","12-Apr-14","Nielsen","ALP","Queensland","38"
"1858","12-Apr-14","Nielsen","COAL","Queensland","38"
"1859","12-Apr-14","Nielsen","GRN","Queensland","11"
"1860","12-Apr-14","Nielsen","IND","Queensland","9"
"1861","12-Apr-14","Nielsen","OTH","Queensland","5"
"1862","31-Mar-14","Newspoll","ALP","Queensland","34"
"1863","31-Mar-14","Newspoll","COAL","Queensland","41"
"1864","31-Mar-14","Newspoll","GRN","Queensland","8"
"1865","31-Mar-14","Newspoll","OTH","Queensland","17"
"1866","15-Mar-14","Nielsen","ALP","Queensland","34"
"1867","15-Mar-14","Nielsen","COAL","Queensland","44"
"1868","15-Mar-14","Nielsen","GRN","Queensland","9"
"1869","15-Mar-14","Nielsen","PUP","Queensland","8"
"1870","15-Mar-14","Nielsen","OTH","Queensland","5"
"1871","15-Feb-14","Nielsen","ALP","Queensland","33"
"1872","15-Feb-14","Nielsen","COAL","Queensland","45"
"1873","15-Feb-14","Nielsen","GRN","Queensland","8"
"1874","15-Feb-14","Nielsen","IND","Queensland","8"
"1875","15-Feb-14","Nielsen","OTH","Queensland","7"
"1876","27-Dec-13","Newspoll","ALP","Queensland","32"
"1877","27-Dec-13","Newspoll","COAL","Queensland","44"
"1878","27-Dec-13","Newspoll","GRN","Queensland","8"
"1879","27-Dec-13","Newspoll","OTH","Queensland","16"
"1880","23-Nov-13","Nielsen","ALP","Queensland","42"
"1881","23-Nov-13","Nielsen","COAL","Queensland","38"
"1882","23-Nov-13","Nielsen","GRN","Queensland","8"
"1883","23-Nov-13","Nielsen","IND","Queensland","6"
"1884","23-Nov-13","Nielsen","OTH","Queensland","5"
"1885","05-Sep-13","Newspoll","ALP","Queensland","30"
"1886","05-Sep-13","Newspoll","COAL","Queensland","48"
"1887","05-Sep-13","Newspoll","GRN","Queensland","5"
"1888","05-Sep-13","Newspoll","OTH","Queensland","17"
"1889","22-Aug-13","Nielsen","ALP","Queensland","39"
"1890","22-Aug-13","Nielsen","COAL","Queensland","49"
"1891","22-Aug-13","Nielsen","GRN","Queensland","5"
"1892","22-Aug-13","Nielsen","IND","Queensland","1"
"1893","22-Aug-13","Nielsen","OTH","Queensland","6"
"1894","18-Aug-13","Newspoll","ALP","Queensland","37"
"1895","18-Aug-13","Newspoll","COAL","Queensland","46"
"1896","18-Aug-13","Newspoll","GRN","Queensland","8"
"1897","18-Aug-13","Newspoll","OTH","Queensland","9"
"1898","08-Aug-13","Nielsen","ALP","Queensland","38"
"1899","08-Aug-13","Nielsen","COAL","Queensland","46"
"1900","08-Aug-13","Nielsen","GRN","Queensland","8"
"1901","08-Aug-13","Nielsen","IND","Queensland","2"
"1902","08-Aug-13","Nielsen","OTH","Queensland","6"
"1903","13-Jul-13","Nielsen","ALP","Queensland","42"
"1904","13-Jul-13","Nielsen","COAL","Queensland","44"
"1905","13-Jul-13","Nielsen","GRN","Queensland","5"
"1906","13-Jul-13","Nielsen","IND","Queensland","5"
"1907","13-Jul-13","Nielsen","FFP","Queensland","1"
"1908","13-Jul-13","Nielsen","OTH","Queensland","3"
"1909","24-Jun-13","Newspoll","ALP","Queensland","29"
"1910","24-Jun-13","Newspoll","COAL","Queensland","46"
"1911","24-Jun-13","Newspoll","GRN","Queensland","8"
"1912","24-Jun-13","Newspoll","OTH","Queensland","17"
"1913","15-Jun-13","Nielsen","ALP","Queensland","26"
"1914","15-Jun-13","Nielsen","COAL","Queensland","50"
"1915","15-Jun-13","Nielsen","GRN","Queensland","6"
"1916","15-Jun-13","Nielsen","IND","Queensland","10"
"1917","15-Jun-13","Nielsen","FFP","Queensland","1"
"1918","15-Jun-13","Nielsen","OTH","Queensland","7"
"1919","18-May-13","Nielsen","ALP","Queensland","30"
"1920","18-May-13","Nielsen","COAL","Queensland","45"
"1921","18-May-13","Nielsen","GRN","Queensland","7"
"1922","18-May-13","Nielsen","IND","Queensland","8"
"1923","18-May-13","Nielsen","FFP","Queensland","2"
"1924","18-May-13","Nielsen","OTH","Queensland","7"
"1925","13-Apr-13","Nielsen","IND","Queensland","7"
"1926","13-Apr-13","Nielsen","FFP","Queensland","0"
"1927","13-Apr-13","Nielsen","COAL","Queensland","54"
"1928","13-Apr-13","Nielsen","ALP","Queensland","25"
"1929","13-Apr-13","Nielsen","GRN","Queensland","9"
"1930","13-Apr-13","Nielsen","OTH","Queensland","4"
"1931","31-Mar-13","Newspoll","COAL","Queensland","49"
"1932","31-Mar-13","Newspoll","ALP","Queensland","30"
"1933","31-Mar-13","Newspoll","GRN","Queensland","7"
"1934","31-Mar-13","Newspoll","OTH","Queensland","14"
"1935","16-Mar-13","Nielsen","IND","Queensland","6"
"1936","16-Mar-13","Nielsen","FFP","Queensland","3"
"1937","16-Mar-13","Nielsen","COAL","Queensland","47"
"1938","16-Mar-13","Nielsen","ALP","Queensland","29"
"1939","16-Mar-13","Nielsen","GRN","Queensland","10"
"1940","16-Mar-13","Nielsen","OTH","Queensland","5"
"1941","16-Feb-13","Nielsen","IND","Queensland","7"
"1942","16-Feb-13","Nielsen","FFP","Queensland","4"
"1943","16-Feb-13","Nielsen","COAL","Queensland","46"
"1944","16-Feb-13","Nielsen","ALP","Queensland","27"
"1945","16-Feb-13","Nielsen","GRN","Queensland","11"
"1946","16-Feb-13","Nielsen","OTH","Queensland","5"
"1947","31-Dec-12","Newspoll","COAL","Queensland","47"
"1948","31-Dec-12","Newspoll","ALP","Queensland","32"
"1949","31-Dec-12","Newspoll","GRN","Queensland","7"
"1950","31-Dec-12","Newspoll","OTH","Queensland","14"
"1951","15-Dec-12","Nielsen","IND","Queensland","7"
"1952","15-Dec-12","Nielsen","FFP","Queensland","1"
"1953","15-Dec-12","Nielsen","COAL","Queensland","46"
"1954","15-Dec-12","Nielsen","ALP","Queensland","35"
"1955","15-Dec-12","Nielsen","GRN","Queensland","6"
"1956","15-Dec-12","Nielsen","OTH","Queensland","5"
"1957","17-Nov-12","Nielsen","IND","Queensland","4"
"1958","17-Nov-12","Nielsen","FFP","Queensland","3"
"1959","17-Nov-12","Nielsen","COAL","Queensland","45"
"1960","17-Nov-12","Nielsen","ALP","Queensland","33"
"1961","17-Nov-12","Nielsen","GRN","Queensland","11"
"1962","17-Nov-12","Nielsen","OTH","Queensland","3"
"1963","20-Oct-12","Nielsen","IND","Queensland","5"
"1964","20-Oct-12","Nielsen","FFP","Queensland","3"
"1965","20-Oct-12","Nielsen","COAL","Queensland","48"
"1966","20-Oct-12","Nielsen","ALP","Queensland","30"
"1967","20-Oct-12","Nielsen","GRN","Queensland","7"
"1968","20-Oct-12","Nielsen","OTH","Queensland","7"
"1969","30-Sep-12","Newspoll","COAL","Queensland","47"
