"","poll.end.date","poll.source","party","variable","value"
"124","15-Sep-12","Nielsen","COAL","National","45"
"125","15-Sep-12","Nielsen","ALP","National","34"
"126","15-Sep-12","Nielsen","GRN","National","10"
"127","15-Sep-12","Nielsen","OTH","National","4"
"128","25-Aug-12","Nielsen","IND","National","6"
"129","25-Aug-12","Nielsen","FFP","National","2"
"130","25-Aug-12","Nielsen","COAL","National","45"
"131","25-Aug-12","Nielsen","ALP","National","32"
"132","25-Aug-12","Nielsen","GRN","National","11"
"133","25-Aug-12","Nielsen","OTH","National","5"
"134","28-Jul-12","Nielsen","IND","National","5"
"135","28-Jul-12","Nielsen","FFP","National","2"
"136","28-Jul-12","Nielsen","COAL","National","47"
"137","28-Jul-12","Nielsen","ALP","National","30"
"138","28-Jul-12","Nielsen","GRN","National","12"
"139","28-Jul-12","Nielsen","OTH","National","4"
"140","30-Jun-12","Nielsen","IND","National","5"
"141","30-Jun-12","Nielsen","FFP","National","2"
"142","30-Jun-12","Nielsen","COAL","National","48"
"143","30-Jun-12","Newspoll","COAL","National","47"
"144","30-Jun-12","Nielsen","ALP","National","28"
"145","30-Jun-12","Nielsen","GRN","National","12"
"146","30-Jun-12","Nielsen","OTH","National","4"
"147","30-Jun-12","Newspoll","ALP","National","30"
"148","30-Jun-12","Newspoll","GRN","National","12"
"149","30-Jun-12","Newspoll","OTH","National","11"
"150","02-Jun-12","Nielsen","IND","National","6"
"151","02-Jun-12","Nielsen","FFP","National","2"
"152","02-Jun-12","Nielsen","COAL","National","48"
"153","02-Jun-12","Nielsen","ALP","National","26"
"154","02-Jun-12","Nielsen","GRN","National","14"
"155","02-Jun-12","Nielsen","OTH","National","4"
"156","31-Mar-12","Nielsen","IND","National","6"
"157","31-Mar-12","Nielsen","FFP","National","2"
"158","31-Mar-12","Nielsen","COAL","National","47"
"159","31-Mar-12","Newspoll","COAL","National","45"
"160","31-Mar-12","Nielsen","ALP","National","27"
"161","31-Mar-12","Nielsen","GRN","National","13"
"162","31-Mar-12","Nielsen","OTH","National","4"
"163","31-Mar-12","Newspoll","ALP","National","32"
"164","31-Mar-12","Newspoll","GRN","National","11"
"165","31-Mar-12","Newspoll","OTH","National","12"
"166","23-Feb-12","Nielsen","IND","National","6"
"167","23-Feb-12","Nielsen","FFP","National","2"
"168","23-Feb-12","Nielsen","COAL","National","44"
"169","23-Feb-12","Nielsen","OTH","National","3"
"170","23-Feb-12","Nielsen","ALP","National","34"
"171","23-Feb-12","Nielsen","GRN","National","12"
"172","02-Feb-12","Nielsen","IND","National","5"
"173","02-Feb-12","Nielsen","FFP","National","1"
"174","02-Feb-12","Nielsen","COAL","National","45"
"175","02-Feb-12","Nielsen","OTH","National","3"
"176","02-Feb-12","Nielsen","ALP","National","33"
"177","02-Feb-12","Nielsen","GRN","National","13"
"178","31-Dec-11","Newspoll","COAL","National","46"
"179","31-Dec-11","Newspoll","OTH","National","11"
"180","31-Dec-11","Newspoll","ALP","National","31"
"181","31-Dec-11","Newspoll","GRN","National","12"
"182","10-Dec-11","Nielsen","IND","National","5"
"183","10-Dec-11","Nielsen","FFP","National","2"
"184","10-Dec-11","Nielsen","COAL","National","49"
"185","10-Dec-11","Nielsen","OTH","National","4"
"186","10-Dec-11","Nielsen","ALP","National","29"
"187","10-Dec-11","Nielsen","GRN","National","11"
"188","12-Nov-11","Nielsen","IND","National","6"
"189","12-Nov-11","Nielsen","FFP","National","2"
"190","12-Nov-11","Nielsen","COAL","National","45"
"191","12-Nov-11","Nielsen","OTH","National","4"
"192","12-Nov-11","Nielsen","ALP","National","30"
"193","12-Nov-11","Nielsen","GRN","National","14"
"194","15-Oct-11","Nielsen","IND","National","5"
"195","15-Oct-11","Nielsen","FFP","National","1"
"196","15-Oct-11","Nielsen","COAL","National","48"
"197","15-Oct-11","Nielsen","OTH","National","4"
"198","15-Oct-11","Nielsen","ALP","National","30"
