"","poll.end.date","poll.source","party","national","new.south.wales","victoria","queensland","south.australia.nt","western.australia","capitals","others","male","female","x18.24","x25.39","x40.54","x55.","x18.34","x35.49","x50."
"227","16-Jun-11","Nielsen","FFP",3,"2",2,4,5,3,3,3,2,3,7,4,2,"<0.5",NA,NA,NA
"228","16-Jun-11","Nielsen","OTH",5,"5",5,4,4,5,4,6,5,4,5,6,4,"3",NA,NA,NA
"229","16-Jun-11","Nielsen","COAL",49,"51",45,54,47,51,48,50,51,46,28,50,50,"55",NA,NA,NA
"230","16-Jun-11","Nielsen","ALP",27,"26",30,22,30,24,28,25,26,28,34,22,25,"30",NA,NA,NA
"231","16-Jun-11","Nielsen","GRN",12,"12",16,10,9,14,15,9,10,15,24,15,12,"6",NA,NA,NA
"232","14-May-11","Nielsen","OTH",5,"6",3,4,4,6,5,4,5,4,5,7,4,"3",NA,NA,NA
"233","14-May-11","Nielsen","IND",6,"8",4,6,7,5,5,7,6,7,1,5,7,"8",NA,NA,NA
"234","14-May-11","Nielsen","FFP",2,"1",2,2,4,4,2,1,2,2,3,4,1,"1",NA,NA,NA
"235","14-May-11","Nielsen","COAL",47,"48",47,49,45,39,45,49,51,42,40,42,45,"54",NA,NA,NA
"236","14-May-11","Nielsen","ALP",31,"28",34,31,30,35,33,29,29,33,34,30,33,"29",NA,NA,NA
"237","14-May-11","Nielsen","GRN",10,"9",10,7,11,12,10,9,8,11,17,12,9,"5",NA,NA,NA
"238","10-May-11","Nielsen","OTH",4,"5",3,4,3,4,3,4,3,4,4,4,4,"3",NA,NA,NA
"239","10-May-11","Nielsen","ALP",28,"25",40,18,24,25,30,24,25,30,33,30,25,"26",NA,NA,NA
"240","10-May-11","Nielsen","COAL",49,"53",39,56,47,53,49,48,54,44,34,45,50,"57",NA,NA,NA
"241","10-May-11","Nielsen","IND",5,"5",4,8,16,6,5,6,6,5,4,6,6,"5",NA,NA,NA
"242","10-May-11","Nielsen","FFP",3,"1",4,3,4,3,2,4,3,3,6,3,3,"1",NA,NA,NA
"243","10-May-11","Nielsen","GRN",12,"12",11,11,16,9,11,13,9,14,20,12,12,"9",NA,NA,NA
"244","16-Apr-11","Nielsen","OTH",3,"3",2,2,2,3,3,2,3,2,3,3,2,"2",NA,NA,NA
"245","16-Apr-11","Nielsen","ALP",31,"27",35,29,36,28,32,29,30,32,31,29,31,"32",NA,NA,NA
"246","16-Apr-11","Nielsen","COAL",47,"51",46,46,39,50,48,45,50,45,42,43,46,"54",NA,NA,NA
"247","16-Apr-11","Nielsen","IND",6,"7",2,6,9,4,4,9,4,7,2,5,7,"6",NA,NA,NA
"248","16-Apr-11","Nielsen","FFP",2,"1",2,4,3,3,2,3,2,3,3,4,2,"1",NA,NA,NA
"249","16-Apr-11","Nielsen","GRN",12,"11",13,12,11,11,12,12,11,12,19,15,12,"6",NA,NA,NA
"250","31-Mar-11","Newspoll","OTH",11,"12",7,14,10,8,8,14,11,10,NA,NA,NA,"",10,11,10
"251","31-Mar-11","Newspoll","ALP",34,"33",36,31,34,35,34,33,34,34,NA,NA,NA,"",32,36,34
"252","31-Mar-11","Newspoll","COAL",42,"43",41,43,40,44,43,42,43,41,NA,NA,NA,"",36,38,49
"253","31-Mar-11","Newspoll","GRN",13,"12",16,12,16,13,15,11,12,15,NA,NA,NA,"",22,15,7
"254","12-Mar-11","Nielsen","OTH",3,"3",3,4,2,4,3,4,4,2,4,3,3,"3",NA,NA,NA
"255","12-Mar-11","Nielsen","ALP",33,"29",38,31,37,36,35,29,31,35,35,32,36,"30",NA,NA,NA
"256","12-Mar-11","Nielsen","COAL",45,"48",40,47,45,46,44,47,47,44,38,38,44,"55",NA,NA,NA
"257","12-Mar-11","Nielsen","IND",5,"6",4,5,4,1,3,7,5,4,3,4,5,"5",NA,NA,NA
"258","12-Mar-11","Nielsen","FFP",2,"1",3,3,3,2,1,3,2,2,1,5,1,"1",NA,NA,NA
"259","12-Mar-11","Nielsen","GRN",12,"14",12,10,8,10,13,10,11,12,18,17,11,"6",NA,NA,NA
"260","12-Feb-11","Nielsen","OTH",3,"3",3,4,5,3,4,3,4,3,7,5,3,"1",NA,NA,NA
"261","12-Feb-11","Nielsen","ALP",32,"31",37,28,33,27,34,28,31,32,40,31,26,"34",NA,NA,NA
"262","12-Feb-11","Nielsen","COAL",46,"48",43,51,42,48,45,48,45,48,26,44,50,"53",NA,NA,NA
"263","12-Feb-11","Nielsen","IND",4,"5",3,6,7,1,3,7,5,4,2,3,7,"4",NA,NA,NA
"264","12-Feb-11","Nielsen","FFP",2,"1",1,3,3,2,1,2,1,2,2,2,2,"1",NA,NA,NA
"265","12-Feb-11","Nielsen","GRN",12,"11",13,8,10,8,13,12,13,12,22,15,12,"6",NA,NA,NA
"266","31-Dec-10","Newspoll","OTH",10,"10",7,13,11,11,8,13,10,10,NA,NA,NA,"",11,11,9
"267","31-Dec-10","Newspoll","ALP",34,"34",37,34,35,30,35,33,34,36,NA,NA,NA,"",32,37,34
"268","31-Dec-10","Newspoll","COAL",42,"44",39,41,41,46,41,43,43,40,NA,NA,NA,"",36,37,39
"269","31-Dec-10","Newspoll","GRN",14,"12",17,12,13,13,16,11,13,14,NA,NA,NA,"",21,15,8
"270","20-Nov-10","Nielsen","OTH",3,"3",3,4,2,2,3,3,3,3,5,4,2,"2",NA,NA,NA
"271","20-Nov-10","Nielsen","ALP",35,"33",37,34,35,32,34,37,34,36,37,37,36,"32",NA,NA,NA
"272","20-Nov-10","Nielsen","GRN",13,"13",16,9,14,15,15,11,13,13,25,17,10,"7",NA,NA,NA
"273","20-Nov-10","Nielsen","COAL",43,"47",40,45,41,46,44,42,43,43,29,36,43,"54",NA,NA,NA
"274","20-Nov-10","Nielsen","IND",4,"4",3,6,7,3,4,5,5,3,2,3,6,"4",NA,NA,NA
"275","20-Nov-10","Nielsen","FFP",1,"<0.5",2,2,2,2,1,1,1,2,1,2,2,"1",NA,NA,NA
"276","23-Oct-10","Nielsen","OTH",2,"3",2,3,3,1,2,3,3,2,3,5,2,"1",NA,NA,NA
"277","23-Oct-10","Nielsen","ALP",34,"29",38,36,38,34,35,34,33,35,30,34,37,"34",NA,NA,NA
"278","23-Oct-10","Nielsen","GRN",14,"11",18,9,20,14,15,12,12,16,21,16,15,"8",NA,NA,NA
"279","23-Oct-10","Nielsen","COAL",43,"50",36,45,33,49,43,43,45,42,40,41,40,"50",NA,NA,NA
"280","23-Oct-10","Nielsen","IND",4,"6",3,5,3,1,3,7,6,3,3,3,5,"6",NA,NA,NA
"281","23-Oct-10","Nielsen","FFP",2,"<0.5",2,2,4,1,1,2,1,2,2,2,1,"1",NA,NA,NA
"282","19-Aug-10","Nielsen","GRN",13,"12",17,11,13,13,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"283","19-Aug-10","Nielsen","ALP",39,"39",41,37,36,33,41,34,36,41,36,41,37,"39",NA,NA,NA
"284","19-Aug-10","Nielsen","COAL",41.5,"42",35,45,43,50,38,46,43,40,28,37,46,"47",NA,NA,NA
"285","19-Aug-10","Nielsen","DEM",1,"1",1,0,1,0,1,1,1,1,0.5,1,0.5,"1",NA,NA,NA
"286","19-Aug-10","Nielsen","GRN",13,"12",17,11,13,13,14,12,13,13,29,15,9,"10",NA,NA,NA
"287","19-Aug-10","Nielsen","IND",2,"3",2,2,3,1,2,3,3,2,2,2,4,"1",NA,NA,NA
"288","19-Aug-10","Nielsen","FFP",1.5,"1",2,1,3,1,2,1,2,1,1,2,1,"2",NA,NA,NA
"289","19-Aug-10","Nielsen","OTH",2,"3",1,4,0,1,2,3,3,2,3,3,3,"1",NA,NA,NA
"290","15-Aug-10","Newspoll","ALP",38,"39",41,35,43,31,38,38,36,40,NA,NA,NA,"",35,42,37
"291","15-Aug-10","Newspoll","GRN",14,"13",14,13,12,14,14,13,12,15,NA,NA,NA,"",19,15,9
"292","15-Aug-10","Newspoll","COAL",42,"41",40,43,37,51,43,40,45,39,NA,NA,NA,"",38,38,48
"293","12-Aug-10","Nielsen","GRN",12,"13",14,9,12,13,14,10,10,15,19,15,12,"9",NA,NA,NA
"294","08-Aug-10","Newspoll","ALP",38,"39",41,35,44,28,38,38,36,39,NA,NA,NA,"",36,43,36
"295","08-Aug-10","Newspoll","GRN",12,"11",15,10,11,14,14,11,11,14,NA,NA,NA,"",17,15,8
"296","08-Aug-10","Newspoll","COAL",43,"43",39,46,39,52,42,43,45,42,NA,NA,NA,"",38,38,50
"297","05-Aug-10","Nielsen","GRN",13,"11",16,14,15,9,14,13,13,14,20,14,15,"9",NA,NA,NA
"298","05-Aug-10","Nielsen","ALP",36,"40",39,26,44,30,38,34,32,40,35,37,37,"35",NA,NA,NA
"299","05-Aug-10","Nielsen","COAL",44,"43",41,49,33,59,43,45,49,40,35,44,40,"50",NA,NA,NA
"300","05-Aug-10","Nielsen","IND",2,"3",1,6,2,0,2,3,2,3,2,2,4,"2",NA,NA,NA
"301","05-Aug-10","Nielsen","FFP",1,"0",2,3,3,0,1,2,1,2,2,0,2,"1",NA,NA,NA
"302","05-Aug-10","Nielsen","OTH",3,"4",3,1,3,3,3,3,3,2,5,3,2,"3",NA,NA,NA
"303","01-Aug-10","Newspoll","ALP",39,"38",42,36,46,33,38,39,37,40,NA,NA,NA,"",38,43,37
"304","01-Aug-10","Newspoll","GRN",12,"10",17,9,9,15,15,8,11,13,NA,NA,NA,"",17,12,8
"305","01-Aug-10","Newspoll","COAL",43,"45",36,48,38,47,41,46,45,41,NA,NA,NA,"",37,40,49
"306","29-Jul-10","Nielsen","ALP",36,"33",40,37,36,34,38,33,35,36,39,37,39,"31",NA,NA,NA
"307","29-Jul-10","Nielsen","COAL",45,"50",40,41,48,55,43,49,46,45,29,42,41,"57",NA,NA,NA
"308","29-Jul-10","Nielsen","GRN",12,"10",15,12,10,8,13,11,11,13,26,13,11,"8",NA,NA,NA
"309","29-Jul-10","Nielsen","IND",3,"4",1,4,3,2,2,4,4,2,2,3,5,"2",NA,NA,NA
"310","29-Jul-10","Nielsen","FFP",1,"1",2,1,3,1,1,2,1,2,2,2,1,"1",NA,NA,NA
"311","29-Jul-10","Nielsen","OTH",2,"3",2,4,0,0,2,1,2,1,1,3,3,"1",NA,NA,NA
"312","22-Jul-10","Nielsen","GRN",12,"13",13,11,9,11,13,11,12,13,21,14,11,"8",NA,NA,NA
"313","22-Jul-10","Nielsen","ALP",42,"46",44,33,46,34,43,40,39,44,52,44,40,"38",NA,NA,NA
"314","22-Jul-10","Nielsen","COAL",41,"36",40,47,38,51,40,42,42,39,22,37,42,"49",NA,NA,NA
"315","22-Jul-10","Nielsen","IND",3,"3",1,4,3,1,2,3,3,2,2,2,3,"3",NA,NA,NA
"316","22-Jul-10","Nielsen","FFP",1,"1",1,2,3,0,1,2,1,1,1,1,2,"1",NA,NA,NA
"317","22-Jul-10","Nielsen","OTH",1,"1",0,2,1,3,1,2,2,1,2,2,1,"0",NA,NA,NA
"318","10-Jul-10","Nielsen","GRN",13,"9",14,13,11,16,13,13,13,12,16,14,14,"9",NA,NA,NA
"319","30-Jun-10","Newspoll","OTH",9,"9",7,11,13,8,8,11,9,9,NA,NA,NA,"",8,9,10
"320","30-Jun-10","Newspoll","ALP",37,"38",40,37,34,31,38,37,36,38,NA,NA,NA,"",39,36,37
"321","30-Jun-10","Newspoll","GRN",13,"12",14,9,12,16,14,10,12,14,NA,NA,NA,"",19,13,8
"322","30-Jun-10","Newspoll","COAL",41,"41",39,43,41,45,40,42,43,39,NA,NA,NA,"",34,42,45
"323","25-Jun-10","Nielsen","GRN",8,"9",8,6,4,5,8,7,8,7,12,11,7,"4",NA,NA,NA
"324","25-Jun-10","Nielsen","ALP",47,"43",59,40,41,42,48,44,47,47,50,47,47,"45",NA,NA,NA
"325","25-Jun-10","Nielsen","COAL",42,"44",30,48,51,50,40,44,41,43,34,38,43,"47",NA,NA,NA
"326","25-Jun-10","Nielsen","IND",2,"2",1,3,1,0,2,2,1,2,1,2,2,"2",NA,NA,NA
"327","25-Jun-10","Nielsen","FFP",1,"1",0,2,0,2,1,1,1,1,2,2,0,"0",NA,NA,NA
"328","25-Jun-10","Nielsen","OTH",1,"0",2,1,2,1,1,1,2,0,1,1,1,"1",NA,NA,NA
"329","25-Jun-10","Nielsen","ALP",47,"43",59,40,41,42,48,44,47,47,50,47,47,"45",NA,NA,NA
"330","25-Jun-10","Nielsen","COAL",42,"44",30,48,51,50,40,44,41,43,34,38,43,"47",NA,NA,NA
"331","25-Jun-10","Nielsen","GRN",8,"9",8,6,4,5,8,7,8,7,12,11,7,"4",NA,NA,NA
"332","25-Jun-10","Nielsen","IND",2,"2",1,3,1,0,2,2,1,2,1,2,2,"2",NA,NA,NA
"333","25-Jun-10","Nielsen","FFP",1,"1",0,2,0,2,1,1,1,1,2,2,0,"0",NA,NA,NA
"334","25-Jun-10","Nielsen","OTH",1,"0",2,1,2,1,1,1,2,0,1,1,1,"1",NA,NA,NA
"335","05-Jun-10","Nielsen","GRN",15,"14",18,13,13,13,17,12,15,15,20,18,15,"10",NA,NA,NA
"336","08-May-10","Nielsen","GRN",13,"11",14,11,17,12,14,11,14,11,17,17,12,"8",NA,NA,NA
"337","17-Apr-10","Nielsen","GRN",12,"10",15,10,12,13,14,10,13,12,17,17,13,"6",NA,NA,NA
"338","17-Apr-10","Nielsen","ALP",39,"38",41,40,38,35,37,41,40,38,50,38,40,"34",NA,NA,NA
"339","17-Apr-10","Nielsen","COAL",42,"45",38,41,42,45,42,42,40,44,25,37,40,"54",NA,NA,NA
"340","17-Apr-10","Nielsen","IND",3,"4",2,3,3,4,3,4,3,3,0,3,4,"4",NA,NA,NA
"341","17-Apr-10","Nielsen","FFP",1,"1",1,2,2,1,1,1,1,1,3,2,1,"0",NA,NA,NA
"342","17-Apr-10","Nielsen","OTH",3,"3",2,4,3,3,3,2,3,3,4,4,2,"2",NA,NA,NA
"343","31-Mar-10","Newspoll","ALP",40,"40",42,40,42,38,42,39,40,41,NA,NA,NA,"",44,43,37
"344","31-Mar-10","Newspoll","OTH",9,"10",7,10,11,5,8,10,9,8,NA,NA,NA,"",8,9,9
"345","31-Mar-10","Newspoll","ALP",40,"40",42,40,42,38,42,39,40,41,NA,NA,NA,"",44,43,37
"346","31-Mar-10","Newspoll","GRN",11,"11",13,10,9,12,12,9,11,12,NA,NA,NA,"",17,11,7
"347","31-Mar-10","Newspoll","GRN",11,"11",13,10,9,12,12,9,11,12,NA,NA,NA,"",17,11,7
"348","31-Mar-10","Newspoll","COAL",40,"39",38,40,38,45,38,42,40,39,NA,NA,NA,"",31,37,47
"349","31-Mar-10","Newspoll","COAL",40,"39",38,40,38,45,38,42,40,39,NA,NA,NA,"",31,37,47
"350","06-Mar-10","Nielsen","GRN",9,"8",13,7,6,7,9,9,8,9,16,10,9,"6",NA,NA,NA
"351","06-Feb-10","Nielsen","GRN",10,"9",10,11,9,12,11,9,10,11,16,12,12,"5",NA,NA,NA
"352","06-Feb-10","Nielsen","ALP",42,"39",45,44,47,42,45,38,40,44,43,44,38,"44",NA,NA,NA
"353","06-Feb-10","Nielsen","COAL",41,"45",38,39,34,41,38,44,42,39,33,39,41,"45",NA,NA,NA
"354","06-Feb-10","Nielsen","IND",3,"3",2,3,4,1,2,3,3,2,2,2,3,"3",NA,NA,NA
"355","06-Feb-10","Nielsen","FFP",2,"1",4,1,1,0,1,2,2,1,3,1,3,"1",NA,NA,NA
"356","06-Feb-10","Nielsen","OTH",3,"3",1,2,5,3,2,3,3,2,4,3,3,"2",NA,NA,NA
"357","31-Dec-09","Newspoll","ALP",45,"43",46,45,45,40,46,41,44,45,NA,NA,NA,"",45,47,42
"358","31-Dec-09","Newspoll","GRN",11,"11",12,9,9,13,12,10,10,12,NA,NA,NA,"",17,11,7
"359","31-Dec-09","Newspoll","OTH",8,"9",7,9,12,7,8,9,9,8,NA,NA,NA,"",7,9,9
"360","31-Dec-09","Newspoll","COAL",36,"37",35,37,34,40,34,40,37,35,NA,NA,NA,"",31,33,42
"361","28-Nov-09","Nielsen","ALP",42,"38",46,42,41,41,42,43,42,42,44,39,48,"39",NA,NA,NA
"362","28-Nov-09","Nielsen","COAL",37,"40",32,42,39,37,36,39,36,38,35,35,31,"45",NA,NA,NA
"363","28-Nov-09","Nielsen","GRN",13,"14",12,9,13,13,13,12,13,12,14,17,14,"7",NA,NA,NA
"364","28-Nov-09","Nielsen","IND",4,"5",4,4,4,4,4,4,4,4,3,3,3,"6",NA,NA,NA
"365","28-Nov-09","Nielsen","FFP",2,"2",4,0,3,1,2,2,2,2,1,3,2,"1",NA,NA,NA
"366","28-Nov-09","Nielsen","OTH",3,"3",3,2,0,3,3,2,2,2,2,3,2,"2",NA,NA,NA
"367","07-Nov-09","Nielsen","ALP",45,"45",44,50,38,44,46,43,44,46,48,48,45,"42",NA,NA,NA
"368","07-Nov-09","Nielsen","COAL",38,"40",35,38,47,36,36,43,38,39,30,32,38,"47",NA,NA,NA
"369","07-Nov-09","Nielsen","GRN",9,"9",12,5,8,11,11,7,10,8,13,11,11,"6",NA,NA,NA
"370","07-Nov-09","Nielsen","IND",2,"3",3,3,3,2,2,3,4,1,2,3,2,"2",NA,NA,NA
"371","07-Nov-09","Nielsen","FFP",2,"1",3,2,2,2,2,2,1,2,5,2,1,"1",NA,NA,NA
"372","07-Nov-09","Nielsen","OTH",3,"2",2,2,3,6,3,3,3,2,2,6,2,"2",NA,NA,NA
"373","10-Oct-09","Nielsen","ALP",46,"45",48,50,40,44,49,42,45,47,43,48,50,"42",NA,NA,NA
"374","10-Oct-09","Nielsen","COAL",37,"39",33,39,32,43,34,41,37,36,34,32,32,"46",NA,NA,NA
"375","10-Oct-09","Nielsen","GRN",10,"8",11,6,12,10,11,8,9,10,14,13,9,"5",NA,NA,NA
"376","10-Oct-09","Nielsen","IND",3,"4",2,3,9,2,3,4,3,3,1,2,4,"4",NA,NA,NA
"377","10-Oct-09","Nielsen","FFP",1,"1",3,0,2,0,1,2,1,2,5,2,1,"1",NA,NA,NA
"378","10-Oct-09","Nielsen","OTH",3,"2",4,3,4,1,2,3,4,2,4,4,2,"1",NA,NA,NA
"379","30-Sep-09","Newspoll","ALP",44,"43",46,43,48,43,47,39,44,45,NA,NA,NA,"",45,44,44
"380","30-Sep-09","Newspoll","GRN",10,"10",12,7,9,11,11,8,10,10,NA,NA,NA,"",14,11,6
"381","30-Sep-09","Newspoll","OTH",8,"9",6,8,10,5,7,9,8,7,NA,NA,NA,"",8,7,8
"382","30-Sep-09","Newspoll","COAL",38,"38",36,42,33,41,35,44,38,38,NA,NA,NA,"",33,38,42
"383","12-Sep-09","Nielsen","ALP",44,"43",48,45,45,34,44,45,46,43,40,46,47,"43",NA,NA,NA
"384","12-Sep-09","Nielsen","COAL",40,"42",33,41,38,48,40,40,39,40,40,32,38,"48",NA,NA,NA
"385","12-Sep-09","Nielsen","GRN",8,"7",11,6,5,11,9,7,7,9,12,12,8,"4",NA,NA,NA
"386","12-Sep-09","Nielsen","IND",4,"3",3,4,7,2,4,3,4,3,3,4,4,"3",NA,NA,NA
"387","12-Sep-09","Nielsen","FFP",2,"1",2,1,4,2,2,1,2,1,4,2,1,"1",NA,NA,NA
"388","12-Sep-09","Nielsen","OTH",3,"3",3,2,1,3,1,4,2,3,1,4,2,"2",NA,NA,NA
"389","15-Aug-09","Nielsen","ALP",46,"46",49,38,48,53,50,41,43,50,47,49,51,"41",NA,NA,NA
"390","15-Aug-09","Nielsen","COAL",38,"37",35,46,35,33,35,41,40,35,31,32,36,"47",NA,NA,NA
"391","15-Aug-09","Nielsen","GRN",8,"9",8,7,5,6,7,8,7,8,9,9,9,"6",NA,NA,NA
"392","15-Aug-09","Nielsen","IND",3,"4",1,3,6,2,2,4,4,2,5,3,2,"3",NA,NA,NA
"393","15-Aug-09","Nielsen","FFP",2,"1",3,2,5,3,2,3,2,2,5,4,1,"1",NA,NA,NA
"394","15-Aug-09","Nielsen","OTH",3,"3",3,3,1,3,3,3,3,2,2,4,2,"3",NA,NA,NA
"395","30-Jun-09","Newspoll","ALP",45,"46",46,44,45,38,45,43,44,45,NA,NA,NA,"",45,45,44
"396","30-Jun-09","Newspoll","GRN",10,"8",11,9,10,11,11,9,10,10,NA,NA,NA,"",14,11,7
"397","30-Jun-09","Newspoll","OTH",8,"9",7,9,10,9,8,9,9,8,NA,NA,NA,"",9,9,7
"398","30-Jun-09","Newspoll","COAL",37,"37",36,38,35,42,36,39,37,37,NA,NA,NA,"",32,35,42
"399","27-Jun-09","Nielsen","ALP",46,"47",46,47,45,40,47,45,46,46,47,47,49,"42",NA,NA,NA
"400","27-Jun-09","Nielsen","COAL",37,"35",39,35,37,41,36,37,36,37,29,32,35,"45",NA,NA,NA
"401","27-Jun-09","Nielsen","GRN",10,"11",8,10,8,10,10,9,10,10,15,12,11,"5",NA,NA,NA
"402","27-Jun-09","Nielsen","IND",3,"4",3,3,1,1,2,4,4,2,1,3,2,"4",NA,NA,NA
"403","27-Jun-09","Nielsen","FFP",2,"1",3,2,6,2,2,3,1,3,5,2,2,"1",NA,NA,NA
"404","27-Jun-09","Nielsen","OTH",2,"2",2,3,3,6,3,3,3,2,3,4,2,"2",NA,NA,NA
"405","16-May-09","Nielsen","ALP",44,"45",41,46,44,37,44,44,46,42,43,48,48,"37",NA,NA,NA
"406","16-May-09","Nielsen","COAL",43,"43",46,40,40,50,42,43,41,44,35,37,40,"53",NA,NA,NA
"407","16-May-09","Nielsen","GRN",8,"6",7,8,6,11,9,6,7,8,15,9,8,"4",NA,NA,NA
"408","16-May-09","Nielsen","IND",2,"2",2,2,7,1,2,2,3,2,2,2,3,"2",NA,NA,NA
"409","16-May-09","Nielsen","FFP",1,"1",1,2,1,0,1,1,0,2,3,1,0,"1",NA,NA,NA
"410","16-May-09","Nielsen","OTH",2,"2",3,2,3,2,2,3,3,2,3,3,2,"2",NA,NA,NA
"411","31-Mar-09","Newspoll","ALP",45,"45",47,46,44,39,47,42,44,46,NA,NA,NA,"",46,48,43
"412","31-Mar-09","Newspoll","GRN",9,"10",10,7,8,11,10,8,9,10,NA,NA,NA,"",14,10,5
"413","31-Mar-09","Newspoll","OTH",9,"10",7,8,13,9,7,11,8,10,NA,NA,NA,"",9,10,8
"414","31-Mar-09","Newspoll","COAL",37,"35",36,39,35,41,36,39,39,34,NA,NA,NA,"",31,32,44
"415","27-Mar-09","Nielsen","ALP",47,"44",51,48,38,48,49,42,45,48,50,46,49,"43",NA,NA,NA
"416","27-Mar-09","Nielsen","COAL",37,"38",31,41,39,44,35,41,39,35,28,35,34,"45",NA,NA,NA
"417","27-Mar-09","Nielsen","GRN",10,"11",10,7,7,8,10,9,10,10,14,12,11,"5",NA,NA,NA
"418","27-Mar-09","Nielsen","IND",2,"2",2,2,9,0,2,3,3,2,3,2,2,"3",NA,NA,NA
"419","27-Mar-09","Nielsen","FFP",1,"1",3,1,3,1,1,2,1,2,2,2,2,"1",NA,NA,NA
"420","27-Mar-09","Nielsen","OTH",3,"3",3,1,5,0,3,3,3,2,4,3,3,"2",NA,NA,NA
"421","31-Dec-08","Newspoll","ALP",44,"41",44,49,47,40,45,42,44,43,NA,NA,NA,"",46,43,42
"422","31-Dec-08","Newspoll","GRN",10,"11",11,7,9,12,10,10,9,12,NA,NA,NA,"",14,12,7
"423","31-Dec-08","Newspoll","OTH",8,"10",7,7,9,7,8,9,8,9,NA,NA,NA,"",8,9,8
"424","31-Dec-08","Newspoll","COAL",38,"38",38,37,35,41,37,39,39,36,NA,NA,NA,"",32,36,43
"425","15-Nov-08","Nielsen","ALP",45,"47",46,38,46,44,48,40,45,45,47,45,46,"42",NA,NA,NA
"426","15-Nov-08","Nielsen","COAL",39,"38",39,45,39,40,36,43,37,41,32,37,37,"45",NA,NA,NA
"427","15-Nov-08","Nielsen","GRN",10,"8",10,10,6,10,10,9,11,9,14,11,9,"8",NA,NA,NA
"428","15-Nov-08","Nielsen","IND",2,"3",2,2,4,2,2,3,3,1,3,2,3,"3",NA,NA,NA
"429","15-Nov-08","Nielsen","FFP",1,"1",1,2,4,0,1,2,1,2,2,2,2,"0",NA,NA,NA
"430","15-Nov-08","Nielsen","OTH",3,"3",2,4,1,4,3,2,3,2,3,3,3,"3",NA,NA,NA
"431","18-Oct-08","Nielsen","ALP",46,"44",46,47,48,41,46,44,45,47,43,47,47,"44",NA,NA,NA
"432","18-Oct-08","Nielsen","COAL",39,"43",38,36,36,45,39,39,40,38,30,34,38,"47",NA,NA,NA
"433","18-Oct-08","Nielsen","GRN",9,"7",10,7,10,10,9,8,9,9,15,10,11,"4",NA,NA,NA
"434","18-Oct-08","Nielsen","IND",3,"4",1,4,2,2,2,4,3,2,3,3,2,"3",NA,NA,NA
"435","18-Oct-08","Nielsen","FFP",1,"1",2,2,3,0,1,2,0,2,2,3,1,"1",NA,NA,NA
"436","18-Oct-08","Nielsen","OTH",3,"1",3,4,2,2,2,3,3,2,6,3,1,"2",NA,NA,NA
"437","30-Sep-08","Newspoll","ALP",45,"45",46,47,41,34,46,42,44,45,NA,NA,NA,"",50,45,41
"438","30-Sep-08","Newspoll","GRN",10,"10",12,7,8,12,11,8,9,10,NA,NA,NA,"",13,11,7
"439","30-Sep-08","Newspoll","OTH",8,"9",6,8,13,8,7,10,9,8,NA,NA,NA,"",7,8,9
"440","30-Sep-08","Newspoll","COAL",37,"36",36,38,38,46,36,40,38,37,NA,NA,NA,"",30,36,43
"441","20-Sep-08","Nielsen","ALP",41,"39",41,47,40,32,40,43,44,38,39,43,41,"39",NA,NA,NA
"442","20-Sep-08","Nielsen","COAL",42,"43",43,40,43,50,42,43,41,43,39,36,40,"51",NA,NA,NA
"443","20-Sep-08","Nielsen","GRN",9,"9",10,5,6,11,10,9,8,11,14,12,11,"4",NA,NA,NA
"444","20-Sep-08","Nielsen","IND",3,"5",1,3,5,2,3,4,3,3,2,3,3,"4",NA,NA,NA
"445","20-Sep-08","Nielsen","FFP",2,"2",4,1,2,1,3,1,2,3,4,3,2,"0",NA,NA,NA
"446","20-Sep-08","Nielsen","OTH",2,"2",1,4,4,4,2,2,2,2,2,4,2,"2",NA,NA,NA
"447","30-Jun-08","Newspoll","ALP",47,"49",47,46,49,39,49,44,49,46,NA,NA,NA,"",49,50,45
"448","30-Jun-08","Newspoll","GRN",10,"9",12,8,9,12,11,8,9,10,NA,NA,NA,"",14,11,6
"449","30-Jun-08","Newspoll","OTH",7,"7",6,8,9,8,6,9,7,7,NA,NA,NA,"",6,9,7
"450","30-Jun-08","Newspoll","COAL",36,"35",35,38,33,41,34,39,35,37,NA,NA,NA,"",31,32,42
"451","14-Jun-08","Nielsen","ALP",44,"45",43,46,40,41,45,42,44,43,46,46,44,"40",NA,NA,NA
"452","14-Jun-08","Nielsen","COAL",38,"39",36,40,40,38,37,40,37,39,32,34,35,"47",NA,NA,NA
"453","14-Jun-08","Nielsen","GRN",10,"11",14,5,8,10,11,10,11,10,11,13,12,"6",NA,NA,NA
"454","14-Jun-08","Nielsen","IND",3,"2",3,3,5,5,3,3,3,3,5,1,4,"3",NA,NA,NA
"455","14-Jun-08","Nielsen","FFP",2,"1",2,2,3,4,2,2,1,2,3,2,2,"1",NA,NA,NA
"456","14-Jun-08","Nielsen","OTH",3,"2",2,4,6,2,3,3,3,3,3,4,3,"1",NA,NA,NA
"457","17-May-08","Nielsen","ALP",46,"46",49,45,41,40,46,45,46,46,44,49,47,"43",NA,NA,NA
"458","17-May-08","Nielsen","COAL",38,"40",34,43,40,38,37,40,39,38,38,32,36,"46",NA,NA,NA
"459","17-May-08","Nielsen","GRN",8,"7",10,6,11,11,9,8,8,9,10,11,9,"6",NA,NA,NA
