"","poll.end.date","poll.source","party","national","new.south.wales","victoria","queensland","south.australia.nt","western.australia","capitals","others","male","female","x18.24","x25.39","x40.54","x55.","x18.34","x35.49","x50."
"52","13-Jul-13","Nielsen","ALP",39,"40",39,42,33,38,41,37,35,44,46,46,36,"33",NA,NA,NA
"53","13-Jul-13","Nielsen","COAL",44,"44",43,44,38,48,43,45,48,39,28,37,45,"54",NA,NA,NA
"54","13-Jul-13","Nielsen","GRN",9,"9",12,5,14,10,10,7,7,11,18,10,10,"4",NA,NA,NA
"55","13-Jul-13","Nielsen","IND",5,"6",2,5,8,2,3,7,6,4,4,4,5,"6",NA,NA,NA
"56","13-Jul-13","Nielsen","FFP",1,"0",1,1,6,1,1,1,1,1,2,1,1,"1",NA,NA,NA
"57","13-Jul-13","Nielsen","OTH",2,"1",2,3,1,2,2,3,3,1,1,2,3,"2",NA,NA,NA
"58","24-Jun-13","Newspoll","ALP",31,"30",37,29,30,25,32,29,28,34,NA,NA,NA,"",33,30,30
"59","24-Jun-13","Newspoll","COAL",47,"48",43,46,44,55,46,48,50,44,NA,NA,NA,"",39,48,52
"60","24-Jun-13","Newspoll","GRN",10,"9",12,8,10,11,11,8,9,11,NA,NA,NA,"",15,10,6
"61","24-Jun-13","Newspoll","OTH",12,"13",8,17,16,9,11,15,13,11,NA,NA,NA,"",13,12,12
"62","15-Jun-13","Nielsen","ALP",29,"27",33,26,22,33,31,24,24,34,32,25,30,"30",NA,NA,NA
"63","15-Jun-13","Nielsen","COAL",47,"53",40,50,48,47,44,53,52,43,39,49,44,"52",NA,NA,NA
"64","15-Jun-13","Nielsen","GRN",11,"9",15,6,14,12,12,8,10,12,19,13,12,"4",NA,NA,NA
"65","15-Jun-13","Nielsen","IND",6,"6",5,10,8,1,5,8,7,6,4,4,7,"8",NA,NA,NA
"66","15-Jun-13","Nielsen","FFP",1,"1",1,1,5,1,2,1,2,1,1,2,2,"1",NA,NA,NA
"67","15-Jun-13","Nielsen","OTH",5,"5",6,7,3,6,5,6,7,4,5,7,5,"4",NA,NA,NA
"68","18-May-13","Nielsen","ALP",32,"28",38,30,32,31,33,30,31,33,40,30,31,"31",NA,NA,NA
"69","18-May-13","Nielsen","COAL",44,"48",38,45,42,49,42,49,44,45,29,40,46,"53",NA,NA,NA
"70","18-May-13","Nielsen","GRN",11,"12",14,7,13,11,13,8,12,11,16,17,9,"6",NA,NA,NA
"71","18-May-13","Nielsen","IND",6,"5",5,8,7,1,5,6,6,5,5,5,6,"5",NA,NA,NA
"72","18-May-13","Nielsen","FFP",2,"2",1,2,1,2,2,1,2,2,3,2,2,"1",NA,NA,NA
"73","18-May-13","Nielsen","OTH",5,"5",3,7,5,6,4,6,6,4,7,7,5,"3",NA,NA,NA
"74","13-Apr-13","Nielsen","IND",6,"7",5,7,7,1,5,6,6,5,5,5,9,"4",NA,NA,NA
"75","13-Apr-13","Nielsen","FFP",1,"1",1,0,3,2,1,2,0,2,1,1,1,"1",NA,NA,NA
"76","13-Apr-13","Nielsen","COAL",49,"51",38,54,55,50,48,51,50,47,43,43,47,"57",NA,NA,NA
"77","13-Apr-13","Nielsen","ALP",29,"27",35,25,23,24,30,28,29,29,32,28,29,"30",NA,NA,NA
"78","13-Apr-13","Nielsen","GRN",12,"11",16,9,9,10,13,10,9,14,16,19,9,"5",NA,NA,NA
"79","13-Apr-13","Nielsen","OTH",4,"3",5,4,2,3,4,4,4,3,3,4,5,"3",NA,NA,NA
"80","31-Mar-13","Newspoll","COAL",46,"46",44,49,41,50,45,48,49,43,NA,NA,NA,"",38,47,51
"81","31-Mar-13","Newspoll","ALP",33,"33",37,30,32,31,35,31,31,36,NA,NA,NA,"",34,33,34
"82","31-Mar-13","Newspoll","GRN",10,"10",12,7,11,10,11,9,9,11,NA,NA,NA,"",16,10,6
"83","31-Mar-13","Newspoll","OTH",11,"11",7,14,16,9,9,12,11,10,NA,NA,NA,"",12,10,9
"84","16-Mar-13","Nielsen","IND",6,"6",4,6,9,4,5,7,6,5,2,5,6,"7",NA,NA,NA
"85","16-Mar-13","Nielsen","FFP",2,"0.5",2,3,3,3,2,2,1,3,4,3,2,"1",NA,NA,NA
"86","16-Mar-13","Nielsen","COAL",47,"49",45,47,46,48,46,49,48,46,39,46,45,"54",NA,NA,NA
"87","16-Mar-13","Nielsen","ALP",31,"30",34,29,28,30,31,29,28,33,30,27,32,"33",NA,NA,NA
"88","16-Mar-13","Nielsen","GRN",10,"9",11,10,8,12,12,8,12,9,15,14,12,"4",NA,NA,NA
"89","16-Mar-13","Nielsen","OTH",4,"6",3,5,6,2,4,5,5,4,10,5,3,"2",NA,NA,NA
"90","16-Feb-13","Nielsen","IND",6,"7",3,7,8,5,4,9,7,5,3,7,6,"6",NA,NA,NA
"91","16-Feb-13","Nielsen","FFP",2,"1",3,4,3,3,2,3,2,3,4,4,2,"1",NA,NA,NA
"92","16-Feb-13","Nielsen","COAL",47,"49",42,46,54,49,48,45,48,45,35,43,46,"55",NA,NA,NA
"93","16-Feb-13","Nielsen","ALP",30,"26",37,27,23,32,31,29,30,30,33,30,28,"30",NA,NA,NA
"94","16-Feb-13","Nielsen","GRN",11,"12",11,11,11,8,11,11,9,13,18,12,12,"6",NA,NA,NA
"95","16-Feb-13","Nielsen","OTH",4,"5",4,5,2,3,4,4,4,4,7,4,5,"3",NA,NA,NA
"96","31-Dec-12","Newspoll","COAL",43,"43",40,47,42,48,43,45,45,42,NA,NA,NA,"",37,41,49
"97","31-Dec-12","Newspoll","ALP",35,"34",40,32,36,32,36,33,33,36,NA,NA,NA,"",34,33,34
"98","31-Dec-12","Newspoll","GRN",11,"12",12,7,10,11,12,8,11,11,NA,NA,NA,"",16,12,6
"99","31-Dec-12","Newspoll","OTH",11,"11",8,14,12,9,9,14,11,11,NA,NA,NA,"",12,14,9
"100","15-Dec-12","Nielsen","IND",6,"6",5,7,6,3,5,8,5,7,2,5,7,"7",NA,NA,NA
"101","15-Dec-12","Nielsen","FFP",2,"1",2,1,3,1,1,2,1,2,5,2,1,"0.5",NA,NA,NA
"102","15-Dec-12","Nielsen","COAL",43,"41",41,46,47,49,44,42,47,40,36,41,42,"48",NA,NA,NA
"103","15-Dec-12","Nielsen","ALP",35,"34",34,35,34,34,34,36,32,37,33,34,35,"35",NA,NA,NA
"104","15-Dec-12","Nielsen","GRN",10,"13",12,6,8,11,12,7,9,11,19,13,9,"6",NA,NA,NA
"105","15-Dec-12","Nielsen","OTH",4,"6",5,5,2,1,4,5,6,3,5,4,6,"3",NA,NA,NA
