"","poll.end.date","poll.source","liberal","national","coalition","alp","greens","palmer.united","family.first","democrats","pauline.hanson.one.nation","others","coalition.2pp","labor.2pp","satisfied.pm","dissatisfied.pm","satisfied.loto","dissatisfied.loto","prime.minister.ppm","opposition.leader..ppm.","prime.minister","opposition.leader"
"30",2014-03-09,"Morgan Multi",37.5,2,39.5,37,12,4,NA,NA,NA,7.5,46.5,53.5,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"31",2014-03-04,"Essential",41,3,44,38,8,3,NA,NA,NA,7,51,49,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"32",2014-02-27,"ReachTEL",36.2,4.1,40.3,39.2,10.5,4.4,NA,NA,NA,5.6,47,53,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"33",2014-02-25,"Essential",39,3,42,39,9,4,NA,NA,NA,7,49,51,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"34",2014-02-24,"Newspoll",NA,NA,39,39,10,NA,NA,NA,NA,12,46,54,36,52,35,39,38,37,"MR TONY ABBOTT","MR BILL SHORTEN"
"35",2014-02-23,"Morgan Multi",38.5,2.5,41,35.5,10.5,4.5,NA,NA,NA,8.5,49.5,50.5,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"36",2014-02-18,"Essential",38,3,41,40,8,4,NA,NA,NA,8,49,51,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"37",2014-02-15,"Nielsen",NA,NA,44,33,12,NA,NA,NA,NA,11,52,48,45,47,40,40,49,39,"MR TONY ABBOTT","MR BILL SHORTEN"
"38",2014-02-11,"Essential",40,3,43,39,8,3,NA,NA,NA,7,50,50,41,47,30,34,40,30,"MR TONY ABBOTT","MR BILL SHORTEN"
"39",2014-02-10,"Newspoll",NA,NA,41,35,12,NA,NA,NA,NA,12,49,51,40,45,35,35,41,33,"MR TONY ABBOTT","MR BILL SHORTEN"
"40",2014-02-09,"Morgan Multi",38.5,2,40.5,37,10.5,4.5,NA,NA,NA,7.5,48,52,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"41",2014-02-04,"Essential",40,3,43,38,8,3,NA,NA,NA,7,50,50,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"42",2014-01-28,"Essential",40,3,42,36,9,NA,NA,NA,NA,13,50,50,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"43",2014-01-26,"Morgan Multi",37.5,2,39.5,37,11.5,NA,NA,NA,NA,12,47,53,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"44",2014-01-23,"ReachTEL",35.3,4.5,39.8,40.6,9.1,4.6,NA,NA,NA,5.9,47,53,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"45",2014-01-21,"Essential",40,3,43,37,9,NA,NA,NA,NA,11,51,49,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"46",2014-01-14,"Essential",42,3,45,38,8,NA,NA,NA,NA,10,51,49,47,43,35,32,42,31,"MR TONY ABBOTT","MR BILL SHORTEN"
"47",2014-01-12,"Morgan Multi",37,2,39,38,10.5,NA,NA,NA,NA,12.5,47.5,52.5,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"48",2013-12-17,"Essential",41,3,44,37,7,NA,NA,NA,NA,12,51,49,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"49",2013-12-15,"ReachTEL",35.7,5.7,41.4,40.4,8.7,5.1,NA,NA,NA,4.4,48,52,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"50",2013-12-15,"Morgan Multi",38.5,2,40.5,38.5,10,NA,NA,NA,NA,11,47.5,52.5,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"51",2013-12-10,"Newspoll",NA,NA,40,38,9,NA,NA,NA,NA,13,48,52,40,45,44,27,41,34,"MR TONY ABBOTT","MR BILL SHORTEN"
"52",2013-12-10,"Essential",41,3,44,37,8,NA,NA,NA,NA,12,51,49,45,46,39,31,43,33,"MR TONY ABBOTT","MR BILL SHORTEN"
"53",2013-12-03,"Essential",41,3,44,36,8,NA,NA,NA,NA,11,52,48,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"54",2013-12-01,"Morgan Multi",39.5,2,41.5,38.5,8.5,NA,NA,NA,NA,11.5,48.5,51.5,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"55",2013-11-26,"Essential",41,3,44,36,9,NA,NA,NA,NA,11,53,47,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"56",2013-11-26,"Newspoll",NA,NA,43,35,10,NA,NA,NA,NA,12,52,48,42,42,39,27,44,33,"MR TONY ABBOTT","MR BILL SHORTEN"
"57",2013-11-23,"Nielsen",NA,NA,41,37,11,NA,NA,NA,NA,11,48,52,47,46,51,30,49,41,"MR TONY ABBOTT","MR BILL SHORTEN"
"58",2013-11-21,"ReachTEL",40.5,3.3,43.8,34.2,9.8,6.6,NA,NA,NA,5.7,51,49,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
