,Poll End Date,Source,,Party,,NATIONAL,By State,NEW SOUTH WALES,VICTORIA,QUEENSLAND,SOUTH AUSTRALIA/NT,WESTERN AUSTRALIA,By Geographic,CAPITALS,OTHERS,By Gender,MALE,FEMALE,By Age Group (1),18-24 ,25-39,40-54,55+,By Age Group (2),18-34,35-49,50+,
43_ALP_KR_LNC_TA,18-Aug-13,Newspoll,,ALP,,35,,34,37,37,32,30,,35,34,,33,36,,,,,,,36,36,32,
43_ALP_KR_LNC_TA,18-Aug-13,Newspoll,,COAL,,46,,51,39,46,46,52,,45,48,,49,44,,,,,,,40,44,52,
43_ALP_KR_LNC_TA,18-Aug-13,Newspoll,,GRN,,10,,7,17,8,10,9,,12,7,,8,12,,,,,,,15,11,7,
43_ALP_KR_LNC_TA,18-Aug-13,Newspoll,,OTH,,9,,8,7,9,12,9,,8,11,,10,8,,,,,,,9,9,9,
43_ALP_KR_LNC_TA,08-Aug-13,Nielsen,,ALP,,37,,39,34,38,36,35,,37,35,,36,37,,38,38,37,35,,,,,
43_ALP_KR_LNC_TA,08-Aug-13,Nielsen,,COAL,,46,,47,45,46,41,53,,46,46,,49,43,,37,42,45,54,,,,,
43_ALP_KR_LNC_TA,08-Aug-13,Nielsen,,GRN,,10,,8,14,8,11,8,,10,9,,8,12,,17,12,10,6,,,,,
43_ALP_KR_LNC_TA,08-Aug-13,Nielsen,,IND,,4,,3,4,2,7,1,,3,4,,4,3,,4,3,4,3,,,,,
43_ALP_KR_LNC_TA,08-Aug-13,Nielsen,,OTH,,4,,2,3,6,5,4,,3,5,,3,4,,4,4,4,3,,,,,
43_ALP_KR_LNC_TA,13-Jul-13,Nielsen,,ALP,,39,,40,39,42,33,38,,41,37,,35,44,,46,46,36,33,,,,,
43_ALP_KR_LNC_TA,13-Jul-13,Nielsen,,COAL,,44,,44,43,44,38,48,,43,45,,48,39,,28,37,45,54,,,,,
43_ALP_KR_LNC_TA,13-Jul-13,Nielsen,,GRN,,9,,9,12,5,14,10,,10,7,,7,11,,18,10,10,4,,,,,
43_ALP_KR_LNC_TA,13-Jul-13,Nielsen,,IND,,5,,6,2,5,8,2,,3,7,,6,4,,4,4,5,6,,,,,
43_ALP_KR_LNC_TA,13-Jul-13,Nielsen,,FFP,,1,,0,1,1,6,1,,1,1,,1,1,,2,1,1,1,,,,,
43_ALP_KR_LNC_TA,13-Jul-13,Nielsen,,OTH,,2,,1,2,3,1,2,,2,3,,3,1,,1,2,3,2,,,,,
43_ALP_JG_LNC_TA,24-Jun-13,Newspoll,,ALP,,31,,30,37,29,30,25,,32,29,,28,34,,,,,,,33,30,30,
43_ALP_JG_LNC_TA,24-Jun-13,Newspoll,,COAL,,47,,48,43,46,44,55,,46,48,,50,44,,,,,,,39,48,52,
43_ALP_JG_LNC_TA,24-Jun-13,Newspoll,,GRN,,10,,9,12,8,10,11,,11,8,,9,11,,,,,,,15,10,6,
43_ALP_JG_LNC_TA,24-Jun-13,Newspoll,,OTH,,12,,13,8,17,16,9,,11,15,,13,11,,,,,,,13,12,12,
43_ALP_JG_LNC_TA,15-Jun-13,Nielsen,,ALP,,29,,27,33,26,22,33,,31,24,,24,34,,32,25,30,30,,,,,
43_ALP_JG_LNC_TA,15-Jun-13,Nielsen,,COAL,,47,,53,40,50,48,47,,44,53,,52,43,,39,49,44,52,,,,,
43_ALP_JG_LNC_TA,15-Jun-13,Nielsen,,GRN,,11,,9,15,6,14,12,,12,8,,10,12,,19,13,12,4,,,,,
43_ALP_JG_LNC_TA,15-Jun-13,Nielsen,,IND,,6,,6,5,10,8,1,,5,8,,7,6,,4,4,7,8,,,,,
43_ALP_JG_LNC_TA,15-Jun-13,Nielsen,,FFP,,1,,1,1,1,5,1,,2,1,,2,1,,1,2,2,1,,,,,
43_ALP_JG_LNC_TA,15-Jun-13,Nielsen,,OTH,,5,,5,6,7,3,6,,5,6,,7,4,,5,7,5,4,,,,,
